Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf,Description,Genres_Enriched,All_Tags
54112688,Witch Hat Atelier Vol. 6,Kamome Shirahama,"Shirahama, Kamome",,1646595750.0,9781646595754.0,4,Kodansha Comics,Kindle Edition,178.0,2020.0,2019.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#156), read-2026 (#22)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
49497694,"Witch Hat Atelier, Vol. 5",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Ajani Oloye, Jacob Friedman",163236929.0,9781632369291.0,4,Kodansha Comics,Paperback,188.0,2020.0,2019.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#155), read-2026 (#21)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
44784784,"Witch Hat Atelier, Vol. 4",Kamome Shirahama,"Shirahama, Kamome","白浜鴎, Stephen Kohler, Lys Blakeslee, Ajani Oloye",1632368609.0,9781632368607.0,4,Kodansha Comics,Paperback,188.0,2019.0,2018.0,2026/04/24,2026/04/24,"mangas, read-2026","mangas (#154), read-2026 (#20)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
43312297,"Witch Hat Atelier, Vol. 3",Kamome Shirahama,"Shirahama, Kamome",,1632368056.0,9781632368058.0,4,Kodansha Comics,Paperback,190.0,2019.0,2018.0,2026/04/24,2026/04/23,"mangas, read-2026","mangas (#153), read-2026 (#19)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
42264867,"Witch Hat Atelier, Vol. 2",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,1632368048.0,9781632368041.0,4,Kodansha Comics,Paperback,190.0,2019.0,2017.0,2026/04/23,2026/04/23,"mangas, read-2026","mangas (#152), read-2026 (#18)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
40893782,"Witch Hat Atelier, Vol. 1",Kamome Shirahama,"Shirahama, Kamome",Stephen Kohler,163236770.0,9781632367709.0,4,Kodansha Comics,Paperback,204.0,2019.0,2017.0,2026/04/23,2022/04/20,"mangas, read-2026","mangas (#112), read-2026 (#17)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
217247918,"Ultimate X-Men, Vol. 2: Children of the Atom",Peach Momoko,"Momoko, Peach","Zack Davisson, Travis Lanham",130295833.0,9781302958336.0,4,Marvel,Paperback,144.0,2025.0,2025.0,2026/04/22,2026/04/22,"comics, read-2026","comics (#102), read-2026 (#16)",read,,,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
20744034,A cabeça do santo,Socorro Acioli,"Acioli, Socorro",,8535923691.0,9788535923698.0,5,Companhia das Letras,Paperback,168.0,2014.0,2014.0,2026/04/21,2026/02/27,read-2026,read-2026 (#15),read,,,,1,0,False,Descrição não disponível (API 404),read-2026,read-2026|read-2026
204642455,"Ultimate X-Men, Vol. 1: Fears and Hates",Peach Momoko,"Momoko, Peach","Zack Davisson, Travis Lanham",1302957317.0,9781302957315.0,4,Marvel,Paperback,160.0,2024.0,2024.0,2026/04/21,2026/04/21,"comics, read-2026","comics (#101), read-2026 (#14)",read,,,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
8701864,"Gotham Central, Book Four: Corrigan",Greg Rucka,"Rucka, Greg","Ed Brubaker, Kano",1401230032.0,9781401230036.0,5,DC Comics,Hardcover,224.0,2011.0,2011.0,2026/04/13,2026/04/08,"comics, read-2026","comics (#100), read-2026 (#12)",read,,,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
231680079,The Poet Empress,Shen Tao,"Tao, Shen",,125040682.0,9781250406828.0,5,Bramble,Kindle Edition,432.0,2026.0,2026.0,2026/04/10,2026/04/07,"coming-2026, read-2026","coming-2026 (#9), read-2026 (#13)",read,"eu amei esse livro!! o sistema de magia é muito interessante, a protagonista, wei, é maravilhosa e eu amei seguir a narrativa dela. <br/><br/>a autora consegue, de alguma forma, contar uma história dentro da história, assim os leitores seguem ao mesmo tempo os desdobramentos da vida da wei no palácio e descobrem os segredos do noivo terrível dela, que podem ser sua única chance de sobrevivência. <br/><br/>a atmosfera da história é envolvente e a construção de mundo é bem trabalhada, eu fui muito surpreendida pelas reviravoltas da história e eu amo isso. fazia muito tempo que eu não lia fantasia e esse livro me lembrou porque eu amo esse gênero literário.",,,1,0,False,Descrição não disponível (API 404),"coming-2026, read-2026","coming-2026, read-2026|coming-2026, read-2026"
52238002,"Subtle Blood (The Will Darling Adventures, #3)",K.J. Charles,"Charles, K.J.",,,9781912688197.0,5,KJC Books,ebook,290.0,2021.0,2021.0,2021/09/25,2021/09/25,"romance, read-2021, favorites","romance (#9), read-2021 (#105), favorites (#14)",read,"honestly, i could reread this series a hundred times! these are my comfort books and the only bad thing about them is that they end.",,,4,0,False,Descrição não disponível (API 404),"romance, read-2021, favorites","romance, read-2021, favorites|romance, read-2021, favorites"
52237997,"The Sugared Game (The Will Darling Adventures, #2)",K.J. Charles,"Charles, K.J.",,1912688174.0,9781912688173.0,5,KJC Books,Kindle Edition,288.0,2020.0,2020.0,2021/09/25,2021/09/24,"romance, read-2021, favorites","romance (#8), read-2021 (#104), favorites (#13)",read,,,,4,0,False,Descrição não disponível (API 404),"romance, read-2021, favorites","romance, read-2021, favorites|romance, read-2021, favorites"
52237989,"Slippery Creatures (The Will Darling Adventures, #1)",K.J. Charles,"Charles, K.J.",,1912688158.0,9781912688159.0,5,KJC Books,ebook,265.0,2020.0,2020.0,2021/09/24,2021/08/19,"romance, read-2021, favorites","romance (#6), read-2021 (#103), favorites (#12)",read,gay people doing espionage in the 1920s is everything i didn’t know i needed!! will darling is a great main character and it was so much fun to go along with his adventures when he was literally just trying to chill. i also love his friendship with maisie and phoebe and the romance with kim.,,,4,0,False,Descrição não disponível (API 404),"romance, read-2021, favorites","romance, read-2021, favorites|romance, read-2021, favorites"
45165750,The Memory Police,Yōko Ogawa,"Ogawa, Yōko","Stephen    Snyder, Traci Kato-Kiriyama",525634274.0,9780525634270.0,4,Random House Audio,Audiobook,7.0,2019.0,1994.0,2025/07/08,2025/02/03,read-2025,read-2025 (#18),read,"read/listened to the audiobook.<br/>the audiobook brings so much to the story, the narrator did such an amazing job at creating a spooky and unnerving atmosphere. the story itself, as long as it took for me to finish, is captivating and heartbreaking, the ending was unexpected but also the only one that could exist.<br/>i didn't think forgetting was so scary, but this book, which is as much about memories making you who you are as it is about fascism, really makes you feel as desperate as the characters. i loved it!",,,1,0,False,Descrição não disponível (API 404),read-2025,read-2025|read-2025
106069,Batman: The Long Halloween,Jeph Loeb,"Loeb, Jeph",Tim Sale,1563894696.0,9781563894695.0,5,DC Comics,Paperback,376.0,1999.0,1997.0,2022/04/02,2022/03/26,"comics, read-2022, favorites","comics (#33), read-2022 (#35), favorites (#11)",read,,,,2,0,False,Descrição não disponível (API 404),"comics, read-2022, favorites","comics, read-2022, favorites|comics, read-2022, favorites"
7113260,"Gotham Central, Book Three: On the Freak Beat",Ed Brubaker,"Brubaker, Ed","Michael Lark, Stefano Gaudiano",1401227546.0,9781401227548.0,5,DC Comics,Hardcover,224.0,2010.0,2010.0,2026/04/08,2026/04/07,"comics, read-2026","comics (#99), read-2026 (#11)",read,,,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
